Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12
Prostate Cancer,Blood in the urine,Blood in the semen,Painful ejaculation,Loss of weight,Weakness or numbness in the legs or feet,Frequent urination especially at night,Feeling very tired,Weak or interrupted flow of urine,Loss of hunger,Difficulty achieving or maintaining an erection,Painful or burning urination,Difficulty starting or holding back urine
Prostate Cancer,Loss of weight,Loss of hunger,Blood in the urine,Difficulty starting or holding back urine,Difficulty achieving or maintaining an erection,Weak or interrupted flow of urine,Feeling very tired,Frequent urination especially at night,Weakness or numbness in the legs or feet,Blood in the semen,Painful ejaculation,Painful or burning urination
Prostate Cancer,Difficulty achieving or maintaining an erection,Weakness or numbness in the legs or feet,Feeling very tired,Blood in the urine,Painful ejaculation,Weak or interrupted flow of urine,Loss of weight,Loss of hunger,Frequent urination especially at night,Painful or burning urination,Blood in the semen,Difficulty starting or holding back urine
Prostate Cancer,Blood in the semen,Difficulty achieving or maintaining an erection,Feeling very tired,Painful ejaculation,Weak or interrupted flow of urine,Painful or burning urination,Difficulty starting or holding back urine,Loss of hunger,Weakness or numbness in the legs or feet,Loss of weight,Frequent urination especially at night,Blood in the urine
Prostate Cancer,Difficulty starting or holding back urine,Painful ejaculation,Difficulty achieving or maintaining an erection,Loss of hunger,Blood in the urine,Frequent urination especially at night,Painful or burning urination,Weakness or numbness in the legs or feet,Blood in the semen,Feeling very tired,Weak or interrupted flow of urine,Loss of weight
Prostate Cancer,Blood in the semen,Painful or burning urination,Blood in the urine,Loss of hunger,Difficulty achieving or maintaining an erection,Loss of weight,Weak or interrupted flow of urine,Frequent urination especially at night,Weakness or numbness in the legs or feet,Painful ejaculation,Feeling very tired,Difficulty starting or holding back urine
Prostate Cancer,Loss of weight,Blood in the semen,Difficulty starting or holding back urine,Loss of hunger,Frequent urination especially at night,Difficulty achieving or maintaining an erection,Painful ejaculation,Feeling very tired,Blood in the urine,Weakness or numbness in the legs or feet,Weak or interrupted flow of urine,Painful or burning urination
Prostate Cancer,Blood in the urine,Feeling very tired,Weakness or numbness in the legs or feet,Frequent urination especially at night,Painful ejaculation,Difficulty achieving or maintaining an erection,Painful or burning urination,Loss of weight,Difficulty starting or holding back urine,Loss of hunger,Blood in the semen,Weak or interrupted flow of urine
Prostate Cancer,Painful ejaculation,Frequent urination especially at night,Painful or burning urination,Weakness or numbness in the legs or feet,Weak or interrupted flow of urine,Loss of hunger,Difficulty achieving or maintaining an erection,Blood in the semen,Blood in the urine,Loss of weight,Difficulty starting or holding back urine,Feeling very tired
Prostate Cancer,Weak or interrupted flow of urine,Difficulty achieving or maintaining an erection,Loss of weight,Blood in the urine,Feeling very tired,Weakness or numbness in the legs or feet,Difficulty starting or holding back urine,Frequent urination especially at night,Loss of hunger,Painful or burning urination,Blood in the semen,Painful ejaculation
Prostate Cancer,Loss of weight,Feeling very tired,Weakness or numbness in the legs or feet,Difficulty achieving or maintaining an erection,Painful or burning urination,Loss of hunger,Difficulty starting or holding back urine,Painful ejaculation,Weak or interrupted flow of urine,Blood in the semen,Blood in the urine,Frequent urination especially at night
Prostate Cancer,Painful or burning urination,Blood in the semen,Weak or interrupted flow of urine,Painful ejaculation,Frequent urination especially at night,Feeling very tired,Blood in the urine,Difficulty starting or holding back urine,Difficulty achieving or maintaining an erection,Loss of hunger,Loss of weight,Weakness or numbness in the legs or feet
Prostate Cancer,Blood in the semen,Blood in the urine,Frequent urination especially at night,Difficulty achieving or maintaining an erection,Loss of weight,Loss of hunger,Difficulty starting or holding back urine,Painful or burning urination,Painful ejaculation,Weakness or numbness in the legs or feet,Weak or interrupted flow of urine,Feeling very tired
Prostate Cancer,Difficulty starting or holding back urine,Loss of weight,Weak or interrupted flow of urine,Difficulty achieving or maintaining an erection,Weakness or numbness in the legs or feet,Painful ejaculation,Blood in the urine,Blood in the semen,Feeling very tired,Painful or burning urination,Frequent urination especially at night,Loss of hunger
Prostate Cancer,Weakness or numbness in the legs or feet,Loss of hunger,Difficulty achieving or maintaining an erection,Frequent urination especially at night,Painful or burning urination,Loss of weight,Weak or interrupted flow of urine,Difficulty starting or holding back urine,Blood in the urine,Painful ejaculation,Feeling very tired,Blood in the semen
Prostate Cancer,Difficulty starting or holding back urine,Difficulty achieving or maintaining an erection,Painful ejaculation,Blood in the semen,Blood in the urine,Frequent urination especially at night,Painful or burning urination,Feeling very tired,Loss of weight,Loss of hunger,Weakness or numbness in the legs or feet,Weak or interrupted flow of urine
Prostate Cancer,Feeling very tired,Weakness or numbness in the legs or feet,Loss of weight,Blood in the semen,Difficulty starting or holding back urine,Loss of hunger,Blood in the urine,Difficulty achieving or maintaining an erection,Painful ejaculation,Frequent urination especially at night,Painful or burning urination,Weak or interrupted flow of urine
Prostate Cancer,Loss of weight,Painful or burning urination,Difficulty starting or holding back urine,Feeling very tired,Difficulty achieving or maintaining an erection,Frequent urination especially at night,Blood in the urine,Weak or interrupted flow of urine,Blood in the semen,Loss of hunger,Painful ejaculation,Weakness or numbness in the legs or feet
Prostate Cancer,Painful or burning urination,Weak or interrupted flow of urine,Painful ejaculation,Difficulty achieving or maintaining an erection,Feeling very tired,Loss of hunger,Difficulty starting or holding back urine,Loss of weight,Blood in the urine,Weakness or numbness in the legs or feet,Blood in the semen,Frequent urination especially at night
Prostate Cancer,Feeling very tired,Blood in the urine,Painful or burning urination,Weak or interrupted flow of urine,Loss of weight,Painful ejaculation,Frequent urination especially at night,Loss of hunger,Weakness or numbness in the legs or feet,Difficulty achieving or maintaining an erection,Blood in the semen,Difficulty starting or holding back urine
Prostate Cancer,Blood in the semen,Difficulty achieving or maintaining an erection,Difficulty starting or holding back urine,Loss of weight,Painful ejaculation,Painful or burning urination,Frequent urination especially at night,Loss of hunger,Weak or interrupted flow of urine,Blood in the urine,Feeling very tired,Weakness or numbness in the legs or feet
Prostate Cancer,Painful or burning urination,Painful ejaculation,Difficulty starting or holding back urine,Feeling very tired,Weak or interrupted flow of urine,Difficulty achieving or maintaining an erection,Loss of hunger,Loss of weight,Blood in the semen,Weakness or numbness in the legs or feet,Blood in the urine,Frequent urination especially at night
Prostate Cancer,Weakness or numbness in the legs or feet,Frequent urination especially at night,Painful ejaculation,Difficulty achieving or maintaining an erection,Difficulty starting or holding back urine,Blood in the semen,Loss of weight,Loss of hunger,Weak or interrupted flow of urine,Blood in the urine,Painful or burning urination,Feeling very tired
Prostate Cancer,Difficulty achieving or maintaining an erection,Blood in the urine,Weakness or numbness in the legs or feet,Painful or burning urination,Feeling very tired,Blood in the semen,Difficulty starting or holding back urine,Loss of weight,Loss of hunger,Weak or interrupted flow of urine,Painful ejaculation,Frequent urination especially at night
Prostate Cancer,Difficulty achieving or maintaining an erection,Loss of weight,Loss of hunger,Difficulty starting or holding back urine,Blood in the semen,Painful or burning urination,Blood in the urine,Painful ejaculation,Feeling very tired,Frequent urination especially at night,Weakness or numbness in the legs or feet,Weak or interrupted flow of urine
Prostate Cancer,Blood in the semen,Loss of hunger,Feeling very tired,Painful ejaculation,Weakness or numbness in the legs or feet,Weak or interrupted flow of urine,Difficulty achieving or maintaining an erection,Painful or burning urination,Blood in the urine,Frequent urination especially at night,Difficulty starting or holding back urine,Loss of weight
Prostate Cancer,Blood in the semen,Loss of hunger,Painful ejaculation,Blood in the urine,Loss of weight,Weakness or numbness in the legs or feet,Painful or burning urination,Feeling very tired,Difficulty starting or holding back urine,Difficulty achieving or maintaining an erection,Weak or interrupted flow of urine,Frequent urination especially at night
Prostate Cancer,Feeling very tired,Painful or burning urination,Blood in the semen,Painful ejaculation,Weak or interrupted flow of urine,Loss of weight,Difficulty starting or holding back urine,Loss of hunger,Blood in the urine,Frequent urination especially at night,Weakness or numbness in the legs or feet,Difficulty achieving or maintaining an erection
Prostate Cancer,Difficulty achieving or maintaining an erection,Painful ejaculation,Loss of hunger,Feeling very tired,Painful or burning urination,Loss of weight,Weakness or numbness in the legs or feet,Weak or interrupted flow of urine,Frequent urination especially at night,Blood in the semen,Blood in the urine,Difficulty starting or holding back urine
Prostate Cancer,Difficulty starting or holding back urine,Weakness or numbness in the legs or feet,Blood in the semen,Feeling very tired,Blood in the urine,Frequent urination especially at night,Weak or interrupted flow of urine,Loss of hunger,Loss of weight,Difficulty achieving or maintaining an erection,Painful ejaculation,Painful or burning urination
Prostate Cancer,Painful ejaculation,Loss of hunger,Difficulty achieving or maintaining an erection,Blood in the urine,Loss of weight,Weakness or numbness in the legs or feet,Difficulty starting or holding back urine,Frequent urination especially at night,Weak or interrupted flow of urine,Blood in the semen,Feeling very tired,Painful or burning urination
Prostate Cancer,Painful ejaculation,Difficulty achieving or maintaining an erection,Loss of hunger,Feeling very tired,Difficulty starting or holding back urine,Blood in the semen,Painful or burning urination,Loss of weight,Frequent urination especially at night,Weakness or numbness in the legs or feet,Blood in the urine,Weak or interrupted flow of urine
Prostate Cancer,Feeling very tired,Frequent urination especially at night,Painful or burning urination,Blood in the urine,Difficulty starting or holding back urine,Painful ejaculation,Weakness or numbness in the legs or feet,Difficulty achieving or maintaining an erection,Weak or interrupted flow of urine,Loss of hunger,Blood in the semen,Loss of weight
Prostate Cancer,Weak or interrupted flow of urine,Painful or burning urination,Difficulty starting or holding back urine,Blood in the urine,Weakness or numbness in the legs or feet,Frequent urination especially at night,Feeling very tired,Loss of weight,Blood in the semen,Loss of hunger,Difficulty achieving or maintaining an erection,Painful ejaculation
Prostate Cancer,Painful ejaculation,Weak or interrupted flow of urine,Difficulty starting or holding back urine,Blood in the semen,Feeling very tired,Loss of weight,Loss of hunger,Weakness or numbness in the legs or feet,Difficulty achieving or maintaining an erection,Frequent urination especially at night,Painful or burning urination,Blood in the urine
Prostate Cancer,Blood in the urine,Loss of hunger,Frequent urination especially at night,Painful or burning urination,Feeling very tired,Weak or interrupted flow of urine,Loss of weight,Painful ejaculation,Blood in the semen,Weakness or numbness in the legs or feet,Difficulty achieving or maintaining an erection,Difficulty starting or holding back urine
Prostate Cancer,Blood in the semen,Painful or burning urination,Weak or interrupted flow of urine,Difficulty achieving or maintaining an erection,Loss of hunger,Difficulty starting or holding back urine,Painful ejaculation,Feeling very tired,Frequent urination especially at night,Blood in the urine,Loss of weight,Weakness or numbness in the legs or feet
Prostate Cancer,Weak or interrupted flow of urine,Difficulty starting or holding back urine,Painful or burning urination,Weakness or numbness in the legs or feet,Painful ejaculation,Loss of weight,Blood in the urine,Blood in the semen,Loss of hunger,Frequent urination especially at night,Difficulty achieving or maintaining an erection,Feeling very tired
Prostate Cancer,Blood in the urine,Difficulty achieving or maintaining an erection,Painful or burning urination,Feeling very tired,Loss of hunger,Painful ejaculation,Frequent urination especially at night,Loss of weight,Difficulty starting or holding back urine,Weak or interrupted flow of urine,Blood in the semen,Weakness or numbness in the legs or feet
Prostate Cancer,Painful ejaculation,Loss of weight,Blood in the urine,Difficulty achieving or maintaining an erection,Feeling very tired,Blood in the semen,Painful or burning urination,Frequent urination especially at night,Weakness or numbness in the legs or feet,Weak or interrupted flow of urine,Loss of hunger,Difficulty starting or holding back urine
Prostate Cancer,Loss of hunger,Frequent urination especially at night,Loss of weight,Feeling very tired,Difficulty starting or holding back urine,Painful ejaculation,Difficulty achieving or maintaining an erection,Blood in the urine,Painful or burning urination,Blood in the semen,Weak or interrupted flow of urine,Weakness or numbness in the legs or feet
Prostate Cancer,Loss of weight,Difficulty achieving or maintaining an erection,Blood in the urine,Painful or burning urination,Weak or interrupted flow of urine,Weakness or numbness in the legs or feet,Loss of hunger,Feeling very tired,Painful ejaculation,Difficulty starting or holding back urine,Frequent urination especially at night,Blood in the semen
Prostate Cancer,Loss of hunger,Blood in the semen,Painful ejaculation,Difficulty starting or holding back urine,Frequent urination especially at night,Weak or interrupted flow of urine,Loss of weight,Painful or burning urination,Feeling very tired,Blood in the urine,Weakness or numbness in the legs or feet,Difficulty achieving or maintaining an erection
Prostate Cancer,Painful or burning urination,Loss of weight,Loss of hunger,Blood in the urine,Difficulty starting or holding back urine,Weak or interrupted flow of urine,Weakness or numbness in the legs or feet,Feeling very tired,Frequent urination especially at night,Painful ejaculation,Difficulty achieving or maintaining an erection,Blood in the semen
Prostate Cancer,Painful or burning urination,Blood in the urine,Painful ejaculation,Loss of hunger,Blood in the semen,Difficulty achieving or maintaining an erection,Difficulty starting or holding back urine,Loss of weight,Feeling very tired,Weakness or numbness in the legs or feet,Weak or interrupted flow of urine,Frequent urination especially at night
Prostate Cancer,Blood in the semen,Difficulty starting or holding back urine,Frequent urination especially at night,Feeling very tired,Weakness or numbness in the legs or feet,Difficulty achieving or maintaining an erection,Weak or interrupted flow of urine,Painful or burning urination,Painful ejaculation,Blood in the urine,Loss of weight,Loss of hunger
Prostate Cancer,Painful or burning urination,Weakness or numbness in the legs or feet,Blood in the urine,Difficulty starting or holding back urine,Feeling very tired,Loss of weight,Painful ejaculation,Difficulty achieving or maintaining an erection,Loss of hunger,Weak or interrupted flow of urine,Frequent urination especially at night,Blood in the semen
Prostate Cancer,Weakness or numbness in the legs or feet,Feeling very tired,Weak or interrupted flow of urine,Blood in the semen,Loss of weight,Blood in the urine,Frequent urination especially at night,Painful or burning urination,Difficulty starting or holding back urine,Painful ejaculation,Loss of hunger,Difficulty achieving or maintaining an erection
Prostate Cancer,Blood in the semen,Frequent urination especially at night,Difficulty achieving or maintaining an erection,Difficulty starting or holding back urine,Feeling very tired,Blood in the urine,Loss of hunger,Painful ejaculation,Weak or interrupted flow of urine,Painful or burning urination,Loss of weight,Weakness or numbness in the legs or feet
Prostate Cancer,Loss of weight,Loss of hunger,Difficulty starting or holding back urine,Weak or interrupted flow of urine,Frequent urination especially at night,Difficulty achieving or maintaining an erection,Weakness or numbness in the legs or feet,Blood in the urine,Feeling very tired,Painful ejaculation,Painful or burning urination,Blood in the semen
Prostate Cancer,Frequent urination especially at night,Weak or interrupted flow of urine,Difficulty achieving or maintaining an erection,Painful or burning urination,Loss of weight,Feeling very tired,Weakness or numbness in the legs or feet,Blood in the semen,Painful ejaculation,Blood in the urine,Difficulty starting or holding back urine,Loss of hunger
Prostate Cancer,Weakness or numbness in the legs or feet,Frequent urination especially at night,Weak or interrupted flow of urine,Loss of weight,Difficulty achieving or maintaining an erection,Difficulty starting or holding back urine,Feeling very tired,Painful ejaculation,Painful or burning urination,Blood in the semen,Blood in the urine,Loss of hunger
Prostate Cancer,Blood in the urine,Loss of weight,Feeling very tired,Difficulty starting or holding back urine,Blood in the semen,Frequent urination especially at night,Painful ejaculation,Painful or burning urination,Weak or interrupted flow of urine,Loss of hunger,Difficulty achieving or maintaining an erection,Weakness or numbness in the legs or feet
Prostate Cancer,Difficulty starting or holding back urine,Painful ejaculation,Feeling very tired,Blood in the semen,Frequent urination especially at night,Weak or interrupted flow of urine,Difficulty achieving or maintaining an erection,Weakness or numbness in the legs or feet,Loss of hunger,Painful or burning urination,Blood in the urine,Loss of weight
Prostate Cancer,Frequent urination especially at night,Weakness or numbness in the legs or feet,Blood in the semen,Loss of hunger,Feeling very tired,Difficulty achieving or maintaining an erection,Painful ejaculation,Weak or interrupted flow of urine,Difficulty starting or holding back urine,Blood in the urine,Loss of weight,Painful or burning urination
Prostate Cancer,Feeling very tired,Blood in the urine,Loss of hunger,Weak or interrupted flow of urine,Frequent urination especially at night,Painful or burning urination,Difficulty achieving or maintaining an erection,Weakness or numbness in the legs or feet,Painful ejaculation,Blood in the semen,Loss of weight,Difficulty starting or holding back urine
Prostate Cancer,Loss of weight,Frequent urination especially at night,Blood in the semen,Loss of hunger,Feeling very tired,Painful or burning urination,Blood in the urine,Weak or interrupted flow of urine,Difficulty achieving or maintaining an erection,Painful ejaculation,Difficulty starting or holding back urine,Weakness or numbness in the legs or feet
Prostate Cancer,Loss of weight,Painful or burning urination,Blood in the urine,Weakness or numbness in the legs or feet,Difficulty achieving or maintaining an erection,Feeling very tired,Frequent urination especially at night,Loss of hunger,Difficulty starting or holding back urine,Blood in the semen,Weak or interrupted flow of urine,Painful ejaculation
Prostate Cancer,Weakness or numbness in the legs or feet,Frequent urination especially at night,Feeling very tired,Blood in the semen,Painful ejaculation,Blood in the urine,Painful or burning urination,Difficulty achieving or maintaining an erection,Loss of hunger,Weak or interrupted flow of urine,Loss of weight,Difficulty starting or holding back urine
Prostate Cancer,Frequent urination especially at night,Blood in the urine,Blood in the semen,Feeling very tired,Painful ejaculation,Weak or interrupted flow of urine,Weakness or numbness in the legs or feet,Painful or burning urination,Difficulty starting or holding back urine,Loss of hunger,Loss of weight,Difficulty achieving or maintaining an erection
Prostate Cancer,Weak or interrupted flow of urine,Painful or burning urination,Feeling very tired,Weakness or numbness in the legs or feet,Difficulty achieving or maintaining an erection,Frequent urination especially at night,Painful ejaculation,Loss of weight,Blood in the urine,Loss of hunger,Blood in the semen,Difficulty starting or holding back urine
Prostate Cancer,Frequent urination especially at night,Loss of weight,Painful ejaculation,Feeling very tired,Blood in the urine,Painful or burning urination,Weakness or numbness in the legs or feet,Blood in the semen,Weak or interrupted flow of urine,Difficulty achieving or maintaining an erection,Loss of hunger,Difficulty starting or holding back urine
Prostate Cancer,Feeling very tired,Loss of weight,Painful or burning urination,Difficulty starting or holding back urine,Difficulty achieving or maintaining an erection,Weakness or numbness in the legs or feet,Blood in the semen,Blood in the urine,Loss of hunger,Frequent urination especially at night,Painful ejaculation,Weak or interrupted flow of urine
Prostate Cancer,Painful ejaculation,Blood in the urine,Loss of weight,Weak or interrupted flow of urine,Difficulty starting or holding back urine,Difficulty achieving or maintaining an erection,Frequent urination especially at night,Feeling very tired,Loss of hunger,Weakness or numbness in the legs or feet,Blood in the semen,Painful or burning urination
Prostate Cancer,Feeling very tired,Painful ejaculation,Blood in the urine,Loss of hunger,Painful or burning urination,Weakness or numbness in the legs or feet,Loss of weight,Blood in the semen,Weak or interrupted flow of urine,Difficulty starting or holding back urine,Difficulty achieving or maintaining an erection,Frequent urination especially at night
Prostate Cancer,Painful or burning urination,Loss of hunger,Difficulty starting or holding back urine,Difficulty achieving or maintaining an erection,Weak or interrupted flow of urine,Frequent urination especially at night,Blood in the urine,Weakness or numbness in the legs or feet,Loss of weight,Blood in the semen,Feeling very tired,Painful ejaculation
Prostate Cancer,Feeling very tired,Frequent urination especially at night,Painful ejaculation,Difficulty starting or holding back urine,Loss of weight,Blood in the urine,Weak or interrupted flow of urine,Weakness or numbness in the legs or feet,Loss of hunger,Painful or burning urination,Blood in the semen,Difficulty achieving or maintaining an erection
Prostate Cancer,Blood in the urine,Loss of weight,Feeling very tired,Difficulty achieving or maintaining an erection,Painful or burning urination,Difficulty starting or holding back urine,Weak or interrupted flow of urine,Frequent urination especially at night,Weakness or numbness in the legs or feet,Painful ejaculation,Loss of hunger,Blood in the semen
Prostate Cancer,Weak or interrupted flow of urine,Difficulty achieving or maintaining an erection,Blood in the semen,Difficulty starting or holding back urine,Loss of hunger,Blood in the urine,Frequent urination especially at night,Painful or burning urination,Weakness or numbness in the legs or feet,Painful ejaculation,Loss of weight,Feeling very tired
Prostate Cancer,Feeling very tired,Difficulty starting or holding back urine,Weak or interrupted flow of urine,Loss of hunger,Difficulty achieving or maintaining an erection,Painful or burning urination,Blood in the urine,Loss of weight,Blood in the semen,Frequent urination especially at night,Painful ejaculation,Weakness or numbness in the legs or feet
Prostate Cancer,Loss of hunger,Loss of weight,Difficulty achieving or maintaining an erection,Blood in the urine,Difficulty starting or holding back urine,Painful ejaculation,Blood in the semen,Painful or burning urination,Weakness or numbness in the legs or feet,Weak or interrupted flow of urine,Feeling very tired,Frequent urination especially at night
Prostate Cancer,Loss of hunger,Weak or interrupted flow of urine,Loss of weight,Blood in the semen,Painful ejaculation,Difficulty achieving or maintaining an erection,Weakness or numbness in the legs or feet,Blood in the urine,Frequent urination especially at night,Difficulty starting or holding back urine,Feeling very tired,Painful or burning urination
Prostate Cancer,Blood in the urine,Loss of hunger,Blood in the semen,Painful or burning urination,Feeling very tired,Painful ejaculation,Loss of weight,Weak or interrupted flow of urine,Weakness or numbness in the legs or feet,Difficulty achieving or maintaining an erection,Difficulty starting or holding back urine,Frequent urination especially at night
Prostate Cancer,Difficulty starting or holding back urine,Frequent urination especially at night,Weakness or numbness in the legs or feet,Feeling very tired,Loss of hunger,Loss of weight,Blood in the semen,Painful or burning urination,Weak or interrupted flow of urine,Blood in the urine,Painful ejaculation,Difficulty achieving or maintaining an erection
Prostate Cancer,Loss of weight,Painful or burning urination,Blood in the urine,Frequent urination especially at night,Loss of hunger,Blood in the semen,Difficulty achieving or maintaining an erection,Weakness or numbness in the legs or feet,Feeling very tired,Weak or interrupted flow of urine,Difficulty starting or holding back urine,Painful ejaculation
Prostate Cancer,Painful ejaculation,Blood in the urine,Weak or interrupted flow of urine,Loss of hunger,Blood in the semen,Weakness or numbness in the legs or feet,Painful or burning urination,Frequent urination especially at night,Difficulty starting or holding back urine,Loss of weight,Difficulty achieving or maintaining an erection,Feeling very tired
Prostate Cancer,Difficulty starting or holding back urine,Difficulty achieving or maintaining an erection,Loss of weight,Feeling very tired,Weakness or numbness in the legs or feet,Blood in the urine,Loss of hunger,Painful ejaculation,Weak or interrupted flow of urine,Frequent urination especially at night,Blood in the semen,Painful or burning urination
